genotype	treatment	GOX	HPR	POX	APX	GPX	CAT	GST	SOD	DHAR	MDHAR	AO	GR	Grxs	Trxs	Prxs	Frxs	MDA	TAC	Poly	ProtOx
117268	DRO	0.93	0.369	0.489	-0.091	-0.896	1.782	-0.442	2.58	-0.932	-0.297	-0.857	-1.553	-0.932	2.101	1.389	0.063	1.5	0.859	1.571	-0.13
117271	DRO	0.797	-0.003	0.322	0.334	-0.863	1.772	-0.535	2.451	-1.036	-0.58	-0.921	-1.569	-1.347	1.956	1.33	-0.056	1.121	0.808	2.058	-0.156
117276	DRO	1.16	0.797	0.548	-0.101	-0.656	1.245	-0.585	2.45	-1.18	-0.668	-0.804	-1.678	-1.252	1.92	1.535	-0.053	1.406	0.62	1.826	-0.099
117277	DRO	0.835	0.554	0.506	0.113	-0.644	1.992	-0.348	3.086	-1.06	-0.529	-0.836	-1.678	-0.754	2.41	1.448	0.313	1.615	0.752	1.479	0.102
117280	DRO	0.89	0.466	0.543	-0.128	-0.759	1.26	-0.726	2.518	-1.114	-0.757	-0.745	-1.432	-1.215	1.973	1.425	0.008	1.349	0.751	2.006	-0.167
117443	DRO	0.616	0.263	0.256	0.275	-0.676	1.836	-0.672	2.312	-0.939	-0.374	-0.987	-2	-1.26	1.958	1.31	-0.039	1.512	0.724	1.746	-0.077
117447	DRO	1.072	0.747	0.414	0.28	-0.706	1.827	-0.45	2.548	-1.252	-0.693	-0.979	-1.553	-1.222	2.019	1.433	-0.037	1.584	0.805	1.275	-0.057
117454	DRO	1.012	0.576	0.456	-0.116	-0.658	1.346	-0.668	2.464	-1.569	-0.16	-0.833	-1.276	-1.229	1.963	1.401	-0.019	1.65	0.695	1.864	-0.108
117460	DRO	0.858	0.406	0.335	0.392	-0.719	1.961	-0.53	2.46	-1.143	-0.572	-1.018	-1.824	-1.143	2.096	1.384	0.081	1.626	0.684	2.103	0.056
117463	DRO	0.92	0.417	0.402	0.375	-0.827	1.846	-0.666	2.31	-0.78	-0.186	-0.979	-1.658	-1.337	1.927	1.43	-0.118	1.421	0.504	1.766	-0.04
117470	DRO	0.816	0.447	0.042	-0.152	-1.208	1.733	-0.623	2.639	-1.097	-0.37	-0.863	-1.678	-1.046	2.052	0.978	-0.018	1.384	0.701	1.391	-0.18
117478	DRO	0.72	0.22	0.446	0.454	-0.676	1.952	-0.504	2.483	-0.78	-0.317	-1.022	-1.745	-1.161	2.13	1.481	-0.023	1.367	0.682	1.887	0.014
117500	DRO	0.815	0.38	0.499	0.493	-0.526	1.943	-0.433	2.559	-1.036	-0.807	-0.854	-1.886	-1.056	2.134	1.541	0.132	1.389	0.653	1.82	0.071
117501	DRO	0.792	0.764	0.497	0.34	-0.642	1.832	-0.371	2.641	-1.046	-0.721	-0.75	-1.824	-1.201	2.035	1.437	0.022	1.563	0.748	1.592	-0.007
117520	DRO	0.9	0.558	0.558	0.534	-0.53	2.004	-0.573	1.876	-0.724	-0.365	-0.845	-1.62	-1.149	2.137	1.58	0.076	1.24	0.517	1.64	0.102
117521	DRO	0.855	0.7	0.202	0.308	-0.682	1.882	-0.582	2.395	-0.896	-0.372	-1.022	-1.658	-1.301	1.958	1.211	-0.025	1.56	0.674	1.824	-0.028
117525	DRO	0.999	0.746	0.402	-0.035	-0.638	1.458	-0.48	2.755	-1.301	-0.695	-0.883	-1.824	-1.013	1.918	1.352	-0.035	1.271	0.661	1.573	-0.088
117527	DRO	0.948	0.576	0.481	0.23	-0.646	1.809	-0.462	2.543	-1.222	-0.783	-0.821	-1.77	-1.215	2.062	1.468	0.012	1.611	0.72	1.789	-0.057
117531	DRO	0.733	0.419	0.482	-0.003	-0.55	1.862	-0.474	2.736	-1.06	-0.44	-0.793	-1.678	-0.848	2.198	1.417	0.146	1.771	0.745	1.39	0.101
117533	DRO	0.978	0.642	0.323	-0.169	-0.873	1.342	-0.521	2.52	-1.456	-0.547	-0.896	-1.77	-1.119	1.758	1.282	-0.133	1.464	0.7	1.532	-0.203
117559	DRO	0.771	0.383	0.231	0.396	-0.629	1.858	-0.79	2.208	-1.032	-0.662	-0.947	-1.585	-1.229	2.02	1.233	0.007	1.331	0.642	1.874	-0.024
117561	DRO	0.909	0.363	0.201	0.44	-0.848	1.963	-0.489	2.487	-0.996	-0.439	-1.161	-1.745	-1.137	2.133	1.225	0.015	1.375	0.657	1.928	0.039
117563	DRO	0.91	0.5	0.372	-0.032	-0.73	0.313	-0.742	2.735	-1.086	-0.446	-0.87	-1.886	-1.119	1.932	1.383	-0.003	1.395	0.717	2.096	-0.055
117564	DRO	1.165	1.125	0.459	-0.005	-0.597	1.459	-0.523	2.695	-1.076	-0.427	-0.79	-1.824	-0.857	1.902	1.498	-0.027	1.603	0.625	1.541	0.037
117567	DRO	0.838	0.725	0.364	0.394	-0.724	1.795	-0.504	2.51	-1.194	-0.845	-0.979	-2	-1.215	2.032	1.396	-0.007	1.294	0.717	1.752	-0.074
117574	DRO	0.805	0.435	0.278	0.085	-1.009	1.652	-0.529	2.469	-1.602	-0.896	-0.907	-1.409	-1.347	1.869	1.251	-0.059	1.537	0.91	1.628	-0.243
117587	DRO	0.993	0.272	0.549	0.414	-0.86	1.93	-0.582	2.414	-1.032	-0.37	-1.06	-1.509	-1.495	2.018	1.582	0.043	1.164	0.459	1.466	0.001
117589	DRO	0.834	0.457	0.401	0.376	-0.695	1.817	-0.526	2.459	-1.131	-0.747	-0.943	-1.678	-1.252	2.012	1.415	-0.022	1.388	0.813	2.122	-0.105
117598	DRO	0.812	0.394	0.365	-0.145	-0.79	0.375	-0.507	2.544	-1.222	-0.592	-0.91	-1.658	-1.26	1.956	1.295	-0.01	1.469	0.708	2.024	-0.091
117622	DRO	1.082	0.608	0.347	-0.04	-0.788	0.811	-0.721	2.67	-1.187	-0.764	-0.91	-2	-1.041	1.983	1.312	0.015	1.273	0.661	2.05	-0.077
117623	DRO	0.854	0.512	0.435	-0.081	-0.703	1.78	-0.613	2.649	-1.066	-0.382	-0.87	-1.538	-0.879	2.09	1.418	0.194	1.506	0.869	1.69	-0.073
117636	DRO	1.06	0.633	0.313	-0.066	-0.638	0.741	-0.783	2.609	-1.268	-0.939	-0.851	-1.824	-1.076	1.959	1.288	0.03	1.575	0.65	1.911	-0.069
117659	DRO	0.739	0.207	0.536	-0.239	-0.991	1.279	-0.68	2.58	-1.854	-1.357	-0.842	-1.509	-1.167	1.772	1.472	-0.178	1.316	0.517	1.614	-0.21
117681	DRO	1.027	0.872	0.435	-0.095	-0.678	1.77	-0.506	2.485	-1.155	-0.554	-0.876	-1.495	-0.991	2.057	1.429	0.069	1.335	0.703	1.349	-0.13
117682	DRO	0.958	0.739	0.417	-0.117	-1.284	0.923	-0.583	2.443	-0.928	-0.137	-0.767	-1.469	-0.983	1.776	1.381	-0.159	1.452	0.973	1.706	-0.167
117684	DRO	0.828	0.548	0.488	0.332	-0.616	1.855	-0.548	2.427	-1.114	-0.886	-0.889	-1.638	-1.268	1.913	1.523	-0.056	1.451	0.799	2.229	0.198
117691	DRO	1.174	0.826	0.355	-0.077	-0.697	1.43	-0.47	2.637	-1.276	-1.041	-0.9	-1.602	-1.051	1.961	1.356	0.067	1.534	0.733	1.536	-0.078
